course_name_canonical,department_count_any,department_count_curriculum_required,department_count_effective_required,departments_any,departments_curriculum_required,departments_effective_required,department_terms
재료조직학,1,0,0,신소재공학전공,,,신소재공학전공:2-2
재료화학1,1,1,1,화학생명소재전공,화학생명소재전공,화학생명소재전공,화학생명소재전공:2-1
재료화학2,1,0,0,화학생명소재전공,,,화학생명소재전공:2-2
재료화학공학,1,0,0,화학공학전공,,,화학공학전공:3-2
전기전자공학,1,0,0,신소재공학전공,,,신소재공학전공:2-1
전기화학공학,1,0,0,화학생명소재전공,,,화학생명소재전공:3-2
전산지반모델링,1,0,0,토목공학전공,,,토목공학전공:3-2
전자기적특성평가,1,1,1,신소재공학전공,신소재공학전공,신소재공학전공,신소재공학전공:2-2
전자세라믹스,1,0,0,신소재공학전공,,,신소재공학전공:4-1
전자재료1,1,0,0,신소재공학전공,,,신소재공학전공:3-1
전자재료2,1,0,0,신소재공학전공,,,신소재공학전공:3-2
전자현미경학및실습,1,0,0,신소재공학전공,,,신소재공학전공:4-2
정보디스플레이공학,1,0,0,신소재공학전공,,,신소재공학전공:4-1
정보설계와시각화,1,0,0,산업공학전공,,,산업공학전공:2-1
정수론,1,0,0,수리빅데이터전공,,,수리빅데이터전공:2-2
제련공학,1,0,0,신소재공학전공,,,신소재공학전공:3-2
제조시스템공학,1,1,1,산업공학전공,산업공학전공,산업공학전공,산업공학전공:3-1
제품과서비스기획,1,1,1,산업공학전공,산업공학전공,산업공학전공,산업공학전공:2-2
제품및시스템디자인,1,1,1,산업공학전공,산업공학전공,산업공학전공,산업공학전공:3-2
졸업논문1(CapstoneDesign1),1,1,1,토목공학전공,토목공학전공,토목공학전공,토목공학전공:4-1
졸업논문2(CapstoneDesign2),1,1,1,토목공학전공,토목공학전공,토목공학전공,토목공학전공:4-2
종합설계,1,0,0,고분자공학전공,,,고분자공학전공:4-2
종합설계1,3,1,1,산업공학전공; 신소재공학전공; 화학공학전공,화학공학전공,화학공학전공,산업공학전공:4-1; 신소재공학전공:4-1; 화학공학전공:4-1
종합설계2,3,0,0,산업공학전공; 신소재공학전공; 화학공학전공,,,산업공학전공:4-2; 신소재공학전공:4-2; 화학공학전공:4-2
지리정보시스템,1,0,0,토목공학전공,,,토목공학전공:2-2
집합론,1,1,1,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공:2-1
창의융합형화공설계,1,0,0,화학공학전공,,,화학공학전공:3-1
창의입문설계,5,2,4,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공; 화학생명소재전공,고분자공학전공; 신소재공학전공,고분자공학전공; 소재디자인공학전공; 신소재공학전공; 화학공학전공,고분자공학전공:1-2; 소재디자인공학전공:1-2; 신소재공학전공:1-2; 화학공학전공:1-2; 화학생명소재전공:1-2
철강재료,1,0,0,신소재공학전공,,,신소재공학전공:3-1
철근콘크리트1,1,1,1,건축공학전공,건축공학전공,건축공학전공,건축공학전공:3-1
철근콘크리트2,1,0,0,건축공학전공,,,건축공학전공:3-2
철근콘크리트공학2,1,0,0,토목공학전공,,,토목공학전공:3-2
철근콘크리트공학및실험1,1,1,1,토목공학전공,토목공학전공,토목공학전공,토목공학전공:3-1
첨단의료용고분자,1,0,0,고분자공학전공,,,고분자공학전공:4-1
초분자화학,1,0,0,화학생명소재전공,,,화학생명소재전공:4-1
촉매공학,1,0,0,화학공학전공,,,화학공학전공:4-1
측량학및실습1,1,1,1,토목공학전공,토목공학전공,토목공학전공,토목공학전공:2-1
측량학및실습2,1,0,0,토목공학전공,,,토목공학전공:2-2
컴퓨터수치해석,1,0,0,토목공학전공,,,토목공학전공:4-2
컴퓨터프로그래밍언어,3,3,3,산업공학전공; 수리빅데이터전공; 토목공학전공,산업공학전공; 수리빅데이터전공; 토목공학전공,산업공학전공; 수리빅데이터전공; 토목공학전공,산업공학전공:1-1; 수리빅데이터전공:1-1; 토목공학전공:1-2
탄소복합재료,1,0,0,신소재공학전공,,,신소재공학전공:4-1
탄소소재,1,0,0,화학공학전공,,,화학공학전공:4-2
텍스타일재료학,1,1,1,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공:2-2
토목CAD,1,1,1,토목공학전공,토목공학전공,토목공학전공,토목공학전공:2-1
토목시공및공정설계,1,0,0,토목공학전공,,,토목공학전공:3-2
토목지질학,1,0,0,토목공학전공,,,토목공학전공:2-1
토질역학및실험1,1,1,1,토목공학전공,토목공학전공,토목공학전공,토목공학전공:3-1
토질역학및실험2,1,0,0,토목공학전공,,,토목공학전공:3-2
통계적품질관리,1,1,1,산업공학전공,산업공학전공,산업공학전공,산업공학전공:2-2
통계적학습,1,0,0,수리빅데이터전공,,,수리빅데이터전공:3-2
통계학개론,1,1,1,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공:2-1
파이버공정,1,0,0,소재디자인공학전공,,,소재디자인공학전공:2-1
패브릭설계,1,1,1,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공:2-1
패션마케팅,1,0,0,소재디자인공학전공,,,소재디자인공학전공:3-1
패션브랜딩,1,0,0,소재디자인공학전공,,,소재디자인공학전공:4-1
패션심리,1,0,0,소재디자인공학전공,,,소재디자인공학전공:3-2
패션제품평가,1,0,0,소재디자인공학전공,,,소재디자인공학전공:4-1
패션테크놀로지,1,1,1,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공,소재디자인공학전공:2-1
패션텍스타일,1,0,0,소재디자인공학전공,,,소재디자인공학전공:4-2
편미분방정식,1,0,0,수리빅데이터전공,,,수리빅데이터전공:4-1
표면처리공학,1,0,0,신소재공학전공,,,신소재공학전공:4-2
품질경영,1,0,0,산업공학전공,,,산업공학전공:4-1
하이테크마케팅,1,1,1,산업공학전공,산업공학전공,산업공학전공,산업공학전공:2-1
해석학,1,1,1,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공,수리빅데이터전공:2-1
해안공학,1,0,0,토목공학전공,,,토목공학전공:3-1
현미경조직특성평가,1,1,1,신소재공학전공,신소재공학전공,신소재공학전공,신소재공학전공:2-1
화공개론,1,0,0,화학공학전공,,,화학공학전공:2-1
화공실험1,1,1,1,화학공학전공,화학공학전공,화학공학전공,화학공학전공:3-1
화공실험2,1,1,1,화학공학전공,화학공학전공,화학공학전공,화학공학전공:3-2
화공양론,2,1,1,고분자공학전공; 화학공학전공,화학공학전공,화학공학전공,고분자공학전공:2-2; 화학공학전공:2-1
화공프로그래밍기초,1,0,0,화학공학전공,,,화학공학전공:2-1
화장품공학,1,0,0,화학생명소재전공,,,화학생명소재전공:4-1
화장품과고분자소재,1,0,0,고분자공학전공,,,고분자공학전공:3-2
화학공정공학,1,0,0,화학공학전공,,,화학공학전공:4-2
화학생명소재실험1,1,1,1,화학생명소재전공,화학생명소재전공,화학생명소재전공,화학생명소재전공:3-1
화학생명소재실험2,1,1,1,화학생명소재전공,화학생명소재전공,화학생명소재전공,화학생명소재전공:3-2
화학생명소재심화탐구,1,0,0,화학생명소재전공,,,화학생명소재전공:4-2
화학생명소재종합설계1,1,0,0,화학생명소재전공,,,화학생명소재전공:4-1
화학생명소재종합설계2,1,0,0,화학생명소재전공,,,화학생명소재전공:4-2
화학적특성평가,1,1,1,신소재공학전공,신소재공학전공,신소재공학전공,신소재공학전공:2-2
화합물구조분석,1,0,0,화학생명소재전공,,,화학생명소재전공:3-2
확률론,1,0,0,수리빅데이터전공,,,수리빅데이터전공:3-2
확률및통계,5,5,5,건축공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 토목공학전공,건축공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 토목공학전공,건축공학전공; 산업공학전공; 소재디자인공학전공; 수리빅데이터전공; 토목공학전공,건축공학전공:2-2; 산업공학전공:1-1; 소재디자인공학전공:2-1; 수리빅데이터전공:1-1; 토목공학전공:2-2
확률해석학,1,0,0,수리빅데이터전공,,,수리빅데이터전공:4-1
환경공학,1,0,0,화학공학전공,,,화학공학전공:3-2
회귀분석,1,0,0,수리빅데이터전공,,,수리빅데이터전공:3-1
효소화학,1,0,0,화학생명소재전공,,,화학생명소재전공:4-2
